State,Candidate,Total_Votes,Vote_Percentage
Alabama,Kamala Harris,768689,34.2%
Alaska,Kamala Harris,102969,40.4%
Arizona,Kamala Harris,1167898,46.8%
Arkansas,Kamala Harris,395717,33.5%
California,Kamala Harris,5749886,57.3%
Colorado,Kamala Harris,1466125,54.5%
Connecticut,Kamala Harris,939449,55.9%
Delaware,Kamala Harris,289585,56.6%
Florida,Kamala Harris,4672341,42.9%
Georgia,Kamala Harris,2538986,48.5%
Hawaii,Kamala Harris,312384,60.6%
Idaho,Kamala Harris,274821,30.4%
Illinois,Kamala Harris,2837488,53.4%
Indiana,Kamala Harris,1132789,39.4%
Iowa,Kamala Harris,705309,42.6%
Kansas,Kamala Harris,523215,40.7%
Kentucky,Kamala Harris,701888,33.8%
Louisiana,Kamala Harris,766405,38.2%
Maine,Kamala Harris,403275,52.6%
Maryland,Kamala Harris,1485253,59.9%
Massachusetts,Kamala Harris,2061226,61.0%
Michigan,Kamala Harris,2715809,48.3%
Minnesota,Kamala Harris,1656766,51.0%
Mississippi,Kamala Harris,376172,37.4%
Missouri,Kamala Harris,1190903,40.0%
Montana,Kamala Harris,221190,38.3%
Nebraska,Kamala Harris,353106,38.5%
Nevada,Kamala Harris,647247,47.2%
New Hampshire,Kamala Harris,414951,50.8%
New Jersey,Kamala Harris,2096079,51.5%
New Mexico,Kamala Harris,473468,51.7%
New York,Kamala Harris,4332116,55.4%
North Carolina,Kamala Harris,2685451,47.7%
North Dakota,Kamala Harris,112061,30.6%
Ohio,Kamala Harris,2479475,30.6%
Oklahoma,Kamala Harris,499043,31.9%
Oregon,Kamala Harris,1011113,54.8%
Pennsylvania,Kamala Harris,3339967,48.5%
Rhode Island,Kamala Harris,281224,55.6%
South Carolina,Kamala Harris,1024728,40.4%
South Dakota,Kamala Harris,146699,33.9%
Tennessee,Kamala Harris,1055327,34.4%
Texas,Kamala Harris,4806358,42.4%
Utah,Kamala Harris,401671,36.9%
Vermont,Kamala Harris,235705,64.3%
Virginia,Kamala Harris,2227821,51.7%
Washington,Kamala Harris,1694782,58.5%
Washington DC,Kamala Harris,255899,90.4%
West Virginia,Kamala Harris,210223,27.9%
Wisconsin,Kamala Harris,1668757,48.8%
Wyoming,Kamala Harris,69508,25.9%


